crsp_fundno,date,mtna,mret,mnav,ticker,tm
30592,31oct2001,120.2,.0206847,14.31,"BPEQX",2001m10
30592,30nov2001,133.3,.0880503,15.57,"BPEQX",2001m11
30592,31dec2001,107.8,.0246342,15.21,"BPEQX",2001m12
30592,31jan2002,104.4,-.0006575,15.2,"BPEQX",2002m1
30592,28feb2002,104.8,-.0072368,15.09,"BPEQX",2002m2
30592,28mar2002,104.1,.0424122,15.73,"BPEQX",2002m3
30592,30apr2002,100.9,-.027972,15.29,"BPEQX",2002m4
30592,31may2002,100,-.0117724,15.11,"BPEQX",2002m5
30592,28jun2002,87.7,-.0688286,14.07,"BPEQX",2002m6
30592,31jul2002,80.9,-.0703625,13.08,"BPEQX",2002m7
30592,30aug2002,81.3,.0122324,13.24,"BPEQX",2002m8
30592,30sep2002,77.4,-.1200906,11.65,"BPEQX",2002m9
30592,31oct2002,77,.0738197,12.51,"BPEQX",2002m10
30592,29nov2002,82.6,.0671463,13.35,"BPEQX",2002m11
30592,31dec2002,66.4,-.0492727,12.18,"BPEQX",2002m12
30592,31jan2003,78.3,-.0279146,11.84,"BPEQX",2003m1
30592,28feb2003,78.8,-.0211149,11.59,"BPEQX",2003m2
30592,31mar2003,82,.0103538,11.71,"BPEQX",2003m3
30592,30apr2003,90.1,.0930828,12.8,"BPEQX",2003m4
30592,30may2003,96.7,.0539063,13.49,"BPEQX",2003m5
30592,30jun2003,99.6,.017791,13.73,"BPEQX",2003m6
30592,31jul2003,104,.01748,13.97,"BPEQX",2003m7
30592,29aug2003,106.1,.0100215,14.11,"BPEQX",2003m8
30592,30sep2003,105.3,-.0063785,14.02,"BPEQX",2003m9
30592,31oct2003,105.3,.0584879,14.84,"BPEQX",2003m10
30592,28nov2003,116,.0107817,15,"BPEQX",2003m11
30592,31dec2003,124.6,.0593839,15.7,"BPEQX",2003m12
30592,30jan2004,139.1,.0082803,15.83,"BPEQX",2004m1
30592,27feb2004,147.7,.0202148,16.15,"BPEQX",2004m2
30592,31mar2004,148.8,-.0173375,15.87,"BPEQX",2004m3
30592,30apr2004,149.3,-.0081916,15.74,"BPEQX",2004m4
30592,28may2004,151.6,.0069886,15.85,"BPEQX",2004m5
30592,30jun2004,154.9,.0227129,16.21,"BPEQX",2004m6
30592,30jul2004,155.8,-.0357804,15.63,"BPEQX",2004m7
30592,31aug2004,159.6,.0159949,15.88,"BPEQX",2004m8
30592,30sep2004,163.4,.0144836,16.11,"BPEQX",2004m9
30592,29oct2004,166.4,.0204842,16.44,"BPEQX",2004m10
30592,30nov2004,182,.0383212,17.07,"BPEQX",2004m11
30592,31dec2004,192.9,.0424221,17.17,"BPEQX",2004m12
30592,31jan2005,191.3,-.019802,16.83,"BPEQX",2005m1
30592,28feb2005,194.2,.0136661,17.06,"BPEQX",2005m2
30592,31mar2005,200.1,-.0087925,16.91,"BPEQX",2005m3
30592,29apr2005,195.5,-.0118273,16.71,"BPEQX",2005m4
30592,31may2005,208.3,.0239378,17.11,"BPEQX",2005m5
30592,30jun2005,368.6,.0181181,17.42,"BPEQX",2005m6
30592,29jul2005,386.2,.0338691,18.01,"BPEQX",2005m7
30592,31aug2005,388.5,-.008884,17.85,"BPEQX",2005m8
30592,30sep2005,408.5,.0095238,18.02,"BPEQX",2005m9
30592,31oct2005,359.7,-.0022198,17.98,"BPEQX",2005m10
30592,30nov2005,383.6,.0322581,18.56,"BPEQX",2005m11
30592,30dec2005,407.5,.008904,18.19,"BPEQX",2005m12
30592,31jan2006,410.1,.0208906,18.57,"BPEQX",2006m1
30592,28feb2006,433.7,.0048465,18.66,"BPEQX",2006m2
30592,31mar2006,488,.0101822,18.85,"BPEQX",2006m3
30592,28apr2006,529.2,.004244,18.93,"BPEQX",2006m4
30592,31may2006,524.8,-.032224,18.32,"BPEQX",2006m5
30592,30jun2006,542.9,.0060044,18.43,"BPEQX",2006m6
30592,31jul2006,560.9,.0130222,18.67,"BPEQX",2006m7
30592,31aug2006,590.6,.0128548,18.91,"BPEQX",2006m8
30592,29sep2006,614.4,.0285563,19.45,"BPEQX",2006m9
30592,31oct2006,639,.0365039,20.16,"BPEQX",2006m10
30592,30nov2006,670,.0124008,20.41,"BPEQX",2006m11
30592,29dec2006,687.5,.0184926,20.03,"BPEQX",2006m12
30592,31jan2007,691.7,.0134798,20.3,"BPEQX",2007m1
30592,28feb2007,693.2,-.0142857,20.01,"BPEQX",2007m2
30592,30mar2007,733.8,.0049975,20.11,"BPEQX",2007m3
30592,30apr2007,805.7,.0522128,21.16,"BPEQX",2007m4
30592,31may2007,839.7,.0335539,21.87,"BPEQX",2007m5
30592,29jun2007,833.2,-.0196616,21.44,"BPEQX",2007m6
30592,31jul2007,796.7,-.0410448,20.56,"BPEQX",2007m7
30592,31aug2007,805.1,.0058366,20.68,"BPEQX",2007m8
30592,28sep2007,840,.0227273,21.15,"BPEQX",2007m9
30592,31oct2007,857,.0307329,21.8,"BPEQX",2007m10
30592,30nov2007,806.1,-.0481651,20.75,"BPEQX",2007m11
30592,31dec2007,780.2,-.0248091,19.13,"BPEQX",2007m12
30592,31jan2008,747.3,-.0454783,18.26,"BPEQX",2008m1
30592,29feb2008,707,-.0547645,17.26,"BPEQX",2008m2
30592,31mar2008,704.4,-.0011587,17.24,"BPEQX",2008m3
30592,30apr2008,760.7,.0481439,18.07,"BPEQX",2008m4
30592,30may2008,721.4,.0265634,18.55,"BPEQX",2008m5
30592,30jun2008,647.2,-.0916442,16.85,"BPEQX",2008m6
30592,31jul2008,618.9,-.0071217,16.73,"BPEQX",2008m7
30592,29aug2008,621,.0251046,17.15,"BPEQX",2008m8
30592,30sep2008,544.7,-.0956268,15.51,"BPEQX",2008m9
30592,31oct2008,425.8,-.1972921,12.45,"BPEQX",2008m10
30592,28nov2008,376.4,-.0907631,11.32,"BPEQX",2008m11
30592,31dec2008,363.8,.0092438,10.92,"BPEQX",2008m12
30592,30jan2009,320,-.1025641,9.8,"BPEQX",2009m1
30592,27feb2009,281.5,-.0918367,8.9,"BPEQX",2009m2
30592,31mar2009,295,.0921348,9.72,"BPEQX",2009m3
30592,30apr2009,208.8,.1409465,11.09,"BPEQX",2009m4
30592,29may2009,219,.0513977,11.66,"BPEQX",2009m5
30592,30jun2009,218,-.0034305,11.62,"BPEQX",2009m6
30592,31jul2009,234.8,.0791738,12.54,"BPEQX",2009m7
